timestamp,lot_id,capacity,occupied,available,occupancy_rate,rain_mm,event_flag,exam_period
2026-03-09 07:00:00,P1,180,50,130,0.2777777777777778,0.0,0,0
2026-03-09 07:00:00,P2,140,37,103,0.2642857142857143,0.0,0,0
2026-03-09 07:00:00,P3,220,56,164,0.2545454545454545,0.0,0,0
2026-03-09 07:00:00,P4,260,45,215,0.17307692307692307,0.0,0,0
2026-03-09 07:00:00,P5,120,31,89,0.25833333333333336,0.0,0,0
2026-03-09 07:00:00,P6,300,34,266,0.11333333333333333,0.0,0,0
2026-03-09 07:30:00,P1,180,74,106,0.4111111111111111,0.0,0,0
2026-03-09 07:30:00,P2,140,50,90,0.35714285714285715,0.0,0,0
2026-03-09 07:30:00,P3,220,76,144,0.34545454545454546,0.0,0,0
2026-03-09 07:30:00,P4,260,56,204,0.2153846153846154,0.0,0,0
2026-03-09 07:30:00,P5,120,41,79,0.3416666666666667,1.16,0,0
2026-03-09 07:30:00,P6,300,43,257,0.14333333333333334,0.0,0,0
2026-03-09 08:00:00,P1,180,91,89,0.5055555555555555,0.25,0,0
2026-03-09 08:00:00,P2,140,65,75,0.4642857142857143,0.0,0,0
2026-03-09 08:00:00,P3,220,83,137,0.37727272727272726,0.0,0,0
2026-03-09 08:00:00,P4,260,99,161,0.38076923076923075,0.0,0,0
2026-03-09 08:00:00,P5,120,54,66,0.45,0.0,0,0
2026-03-09 08:00:00,P6,300,99,201,0.33,0.0,0,0
2026-03-09 08:30:00,P1,180,121,59,0.6722222222222223,0.49,0,0
2026-03-09 08:30:00,P2,140,83,57,0.5928571428571429,0.0,0,0
2026-03-09 08:30:00,P3,220,130,90,0.5909090909090909,0.0,0,0
2026-03-09 08:30:00,P4,260,128,132,0.49230769230769234,0.06,0,0
2026-03-09 08:30:00,P5,120,72,48,0.6,0.0,0,0
2026-03-09 08:30:00,P6,300,125,175,0.4166666666666667,0.0,0,0
2026-03-09 09:00:00,P1,180,142,38,0.7888888888888889,0.0,0,0
2026-03-09 09:00:00,P2,140,101,39,0.7214285714285714,0.0,0,0
2026-03-09 09:00:00,P3,220,154,66,0.7,0.0,0,0
2026-03-09 09:00:00,P4,260,179,81,0.6884615384615385,0.0,0,0
2026-03-09 09:00:00,P5,120,88,32,0.7333333333333333,0.0,0,0
2026-03-09 09:00:00,P6,300,148,152,0.49333333333333335,0.16,0,0
2026-03-09 09:30:00,P1,180,143,37,0.7944444444444444,0.0,0,0
2026-03-09 09:30:00,P2,140,102,38,0.7285714285714285,0.0,0,0
2026-03-09 09:30:00,P3,220,161,59,0.7318181818181818,0.51,0,0
2026-03-09 09:30:00,P4,260,167,93,0.6423076923076924,0.0,0,0
2026-03-09 09:30:00,P5,120,84,36,0.7,0.0,0,0
2026-03-09 09:30:00,P6,300,190,110,0.6333333333333333,0.0,0,0
2026-03-09 10:00:00,P1,180,138,42,0.7666666666666667,0.0,0,0
2026-03-09 10:00:00,P2,140,111,29,0.7928571428571428,4.05,0,0
2026-03-09 10:00:00,P3,220,156,64,0.7090909090909091,0.0,0,0
2026-03-09 10:00:00,P4,260,170,90,0.6538461538461539,0.0,0,0
2026-03-09 10:00:00,P5,120,87,33,0.725,0.0,0,0
2026-03-09 10:00:00,P6,300,168,132,0.56,0.0,0,0
2026-03-09 10:30:00,P1,180,130,50,0.7222222222222222,0.0,0,0
2026-03-09 10:30:00,P2,140,98,42,0.7,0.0,0,0
2026-03-09 10:30:00,P3,220,148,72,0.6727272727272727,0.0,0,0
2026-03-09 10:30:00,P4,260,160,100,0.6153846153846154,0.0,0,0
2026-03-09 10:30:00,P5,120,84,36,0.7,0.91,0,0
2026-03-09 10:30:00,P6,300,141,159,0.47,0.0,0,0
2026-03-09 11:00:00,P1,180,113,67,0.6277777777777778,0.0,0,0
2026-03-09 11:00:00,P2,140,82,58,0.5857142857142857,0.0,0,0
2026-03-09 11:00:00,P3,220,119,101,0.5409090909090909,0.0,0,0
2026-03-09 11:00:00,P4,260,135,125,0.5192307692307693,0.0,0,0
2026-03-09 11:00:00,P5,120,70,50,0.5833333333333334,0.0,0,0
